tag_a,tag_b,count
large_breasts,short_hair,303493.0
sitting,smile,303301.0
bow,shirt,302500.0
1girl,hair_bow,302458.0
1girl,virtual_youtuber,301850.0
school_uniform,solo,301780.0
hair_ribbon,solo,301691.0
1boy,open_mouth,301188.0
ass,solo,300822.0
blush,hetero,300716.0
breasts,pink_hair,300211.0
smile,white_shirt,299683.0
1girl,:d,298573.0
nipples,nude,298072.0
gloves,thighhighs,297922.0
bikini,long_hair,297685.0
large_breasts,thighhighs,297677.0
navel,nipples,297394.0
breasts,white_shirt,297222.0
jacket,smile,297162.0
flower,long_hair,297140.0
looking_at_viewer,yellow_eyes,296599.0
long_hair,pantyhose,296590.0
short_sleeves,solo,296540.0
short_hair,white_background,296287.0
jacket,shirt,296039.0
smile,twintails,295942.0
1girl,alternate_costume,294843.0
hair_ornament,large_breasts,294699.0
2girls,open_mouth,294573.0
bow,skirt,294537.0
looking_at_viewer,multiple_girls,294313.0
breasts,jacket,294002.0
blush,swimsuit,293418.0
gloves,large_breasts,293277.0
braid,solo,293253.0
red_eyes,short_hair,292296.0
parted_lips,solo,292280.0
1girl,choker,290893.0
hetero,penis,290677.0
blush,heart,290087.0
blush,brown_eyes,289755.0
breasts,white_hair,289669.0
multiple_girls,shirt,289555.0
pantyhose,solo,289453.0
blush,tail,289346.0
1girl,penis,289322.0
frills,solo,289231.0
small_breasts,solo,288515.0
purple_hair,solo,288034.0
hair_bow,long_hair,287622.0
hair_ornament,simple_background,287401.0
closed_eyes,long_hair,286981.0
multiple_girls,skirt,286322.0
blue_eyes,skirt,286181.0
breasts,purple_hair,285984.0
bare_shoulders,cleavage,285867.0
1girl,black_gloves,285842.0
looking_at_viewer,white_hair,285569.0
1girl,hairband,285060.0
solo,weapon,284746.0
1girl,sleeveless,284596.0
1girl,horns,284373.0
brown_hair,skirt,284305.0
1girl,pussy,283220.0
hair_ornament,hairclip,282746.0
breasts,grey_hair,282180.0
earrings,long_hair,282132.0
navel,swimsuit,281939.0
hair_ornament,skirt,281780.0
1boy,short_hair,281446.0
blue_eyes,long_sleeves,280374.0
1girl,teeth,280037.0
hair_ornament,shirt,279743.0
shirt,short_sleeves,279382.0
hair_ornament,short_hair,279070.0
nipples,open_mouth,278960.0
long_sleeves,white_shirt,278325.0
heart,long_hair,278193.0
black_skirt,skirt,277743.0
green_eyes,smile,277729.0
skirt,white_background,277727.0
holding,short_hair,277641.0
closed_mouth,white_background,277630.0
cleavage,open_mouth,277585.0
long_hair,small_breasts,277483.0
blue_eyes,white_background,277460.0
earrings,solo,277108.0
flower,hair_ornament,276908.0
gloves,simple_background,276798.0
bare_shoulders,open_mouth,276726.0
purple_eyes,smile,276439.0
grey_hair,looking_at_viewer,275944.0
looking_at_viewer,panties,275783.0
long_hair,pleated_skirt,275502.0
bikini,looking_at_viewer,275410.0
blush,green_eyes,275220.0
short_hair,touhou,275206.0
breasts,full_body,275120.0
hair_between_eyes,white_background,274847.0
ahoge,breasts,274765.0
long_hair,short_sleeves,274524.0
looking_at_viewer,nipples,274363.0
blush,standing,274311.0
animal_ears,simple_background,274016.0
looking_at_viewer,pink_hair,274005.0
blonde_hair,large_breasts,273815.0
large_breasts,white_background,273771.0
blonde_hair,shirt,273467.0
blush,sidelocks,272941.0
hat,short_hair,272782.0
brown_eyes,smile,272561.0
blue_eyes,gloves,272531.0
breasts,heart,271869.0
long_hair,parted_lips,271838.0
1girl,detached_sleeves,271805.0
hair_ornament,long_sleeves,271691.0
ahoge,looking_at_viewer,270946.0
blush,censored,270638.0
blush,thighs,270437.0
blue_hair,smile,270397.0
1boy,penis,270113.0
cleavage,navel,269379.0
1girl,solo_focus,269292.0
outdoors,solo,269196.0
gloves,short_hair,269170.0
1girl,shorts,269001.0
hat,touhou,268599.0
pleated_skirt,solo,267558.0
blue_hair,blush,267411.0
black_hair,simple_background,267310.0
black_hair,large_breasts,266949.0
braid,breasts,266737.0
holding,simple_background,266680.0
bikini,navel,266575.0
2girls,short_hair,265887.0
open_mouth,twintails,265681.0
1girl,black_thighhighs,265672.0
closed_mouth,hair_between_eyes,265589.0
:d,long_hair,265489.0
blush,jacket,265349.0
original,smile,264670.0
1girl,red_hair,264180.0
kantai_collection,long_hair,263595.0
horns,long_hair,263555.0
censored,nipples,263424.0
collarbone,large_breasts,263141.0
dress,long_sleeves,262926.0
1girl,boots,262826.0
black_hair,skirt,262713.0
hair_between_eyes,large_breasts,262283.0
looking_at_viewer,parted_lips,261741.0
elbow_gloves,gloves,261614.0
breasts,earrings,261571.0
breasts,ponytail,261239.0
hetero,nipples,261203.0
ass,blush,260556.0
ass,looking_at_viewer,260472.0
open_clothes,solo,259840.0
collarbone,navel,259571.0
large_breasts,shirt,259214.0
holding,skirt,259193.0
large_breasts,red_eyes,259074.0
blush,pink_hair,258848.0
dress,short_hair,257884.0
breasts,penis,257837.0
cleavage,collarbone,257771.0
jewelry,open_mouth,257742.0
censored,penis,257417.0
collarbone,open_mouth,257056.0
blue_eyes,hair_between_eyes,256955.0
1boy,nipples,256851.0
gloves,white_gloves,256496.0
1girl,official_alternate_costume,255641.0
dress,simple_background,255456.0
1girl,barefoot,255289.0
ahoge,blush,254767.0
kantai_collection,solo,254589.0
bow,bowtie,254481.0
frills,long_hair,254437.0
hair_between_eyes,hair_ornament,254251.0
blonde_hair,simple_background,254119.0
blush,nude,253820.0
hair_bow,solo,253597.0
ribbon,skirt,253537.0
smile,tail,253358.0
breasts,upper_body,253088.0
breasts,lying,253058.0
breasts,parted_lips,253017.0
ponytail,solo,252913.0
full_body,smile,252909.0
alternate_costume,solo,252823.0
hair_ornament,multiple_girls,252580.0
hair_ribbon,looking_at_viewer,252293.0
looking_at_viewer,small_breasts,252257.0
bow,long_sleeves,251959.0
blush,school_uniform,251791.0
navel,simple_background,251677.0
censored,hetero,251672.0
navel,short_hair,251646.0
breasts,pussy,251617.0
1girl,pointy_ears,251464.0
long_hair,outdoors,251167.0
hair_ornament,white_background,251075.0
blush,small_breasts,250701.0
open_mouth,white_shirt,250587.0
multicolored_hair,smile,250551.0
long_hair,sweat,250361.0
medium_breasts,open_mouth,250360.0
1girl,sky,250348.0
hetero,long_hair,250252.0
simple_background,standing,250215.0
animal_ears,large_breasts,250132.0
large_breasts,very_long_hair,250120.0
braid,looking_at_viewer,250108.0
closed_mouth,short_hair,249962.0
full_body,simple_background,249887.0
brown_hair,simple_background,249720.0
blue_eyes,navel,249531.0
looking_at_viewer,short_sleeves,249421.0
animal_ears,short_hair,249403.0
long_hair,red_hair,249323.0
breasts,open_clothes,248960.0
heart,solo,248381.0
1girl,collared_shirt,248324.0
blue_eyes,dress,248299.0
blue_eyes,holding,248297.0
red_eyes,simple_background,248108.0
gloves,holding,248060.0
looking_at_viewer,purple_hair,248058.0
ribbon,shirt,247569.0
red_eyes,shirt,247461.0
long_hair,nude,247354.0
pink_hair,smile,247189.0
dress,gloves,247039.0
1girl,indoors,246008.0
holding,weapon,245969.0
black_hair,red_eyes,245914.0
blonde_hair,hat,245556.0
open_mouth,very_long_hair,245428.0
smile,swimsuit,245005.0
flower,looking_at_viewer,244993.0
solo,virtual_youtuber,244917.0
blonde_hair,skirt,244765.0
black_hair,blue_eyes,244524.0
brown_hair,large_breasts,244390.0
breasts,hair_ribbon,244246.0
frills,looking_at_viewer,244147.0
detached_sleeves,long_hair,244028.0
black_hair,long_sleeves,244003.0
navel,stomach,243927.0
1girl,closed_eyes,243906.0
1boy,smile,243808.0
bow,simple_background,243336.0
tongue,tongue_out,243263.0
closed_mouth,holding,243253.0
long_hair,touhou,243211.0
1girl,wings,242930.0
1girl,shoes,242876.0
hat,multiple_girls,242861.0
school_uniform,shirt,242850.0
hairband,long_hair,242548.0
brown_hair,long_sleeves,242444.0
black_gloves,long_hair,242396.0
blonde_hair,dress,242239.0
long_sleeves,multiple_girls,242185.0
smile,touhou,242090.0
open_mouth,standing,241476.0
blue_eyes,bow,240697.0
large_breasts,swimsuit,240579.0
black_gloves,solo,240405.0
blush,multicolored_hair,240158.0
:d,looking_at_viewer,239815.0
breasts,pantyhose,239640.0
jewelry,large_breasts,239086.0
dress,hair_ornament,238621.0
:d,solo,238466.0
hat,shirt,238443.0
long_hair,open_clothes,238360.0
blush,hair_ribbon,238344.0
dress,white_dress,238271.0
blush,upper_body,237619.0
blue_eyes,brown_hair,237360.0
bow,dress,237296.0
bare_shoulders,simple_background,236704.0
sleeveless,solo,236622.0
closed_eyes,open_mouth,236586.0
earrings,looking_at_viewer,236301.0
choker,solo,236297.0
smile,upper_body,236253.0
blonde_hair,gloves,235960.0
1boy,looking_at_viewer,235786.0
blue_eyes,closed_mouth,235283.0
1girl,tongue,235105.0
hair_flower,hair_ornament,235005.0
flower,hair_flower,235005.0
open_mouth,tail,234991.0
bow,short_hair,234951.0
looking_at_viewer,touhou,234785.0
1girl,hand_up,234682.0
breasts,choker,234670.0
1girl,artist_name,234297.0
closed_eyes,smile,233943.0
greyscale,monochrome,233937.0
long_hair,sleeveless,233718.0
bare_shoulders,hair_ornament,233708.0
multiple_girls,red_eyes,233402.0
animal_ears,cat_ears,233227.0
pleated_skirt,shirt,232862.0
animal_ears,white_background,232854.0
1boy,censored,232795.0
bare_shoulders,dress,232415.0
nipples,pussy,232202.0
long_hair,lying,232125.0
blush,closed_eyes,231874.0
heart,looking_at_viewer,231819.0
blush,grey_hair,231499.0
school_uniform,serafuku,231466.0
dress,multiple_girls,231450.0
open_mouth,teeth,231289.0
large_breasts,thighs,231248.0
blush,touhou,231161.0
blue_hair,open_mouth,231083.0
blue_eyes,thighhighs,230947.0
cleavage,simple_background,230878.0
hair_ornament,holding,230771.0
sidelocks,smile,230700.0
breasts,horns,230669.0
1girl,medium_hair,230578.0
open_mouth,original,230010.0
looking_at_viewer,school_uniform,229803.0
hair_between_eyes,holding,229617.0
lying,on_back,229507.0
large_breasts,skirt,229323.0
long_hair,weapon,229204.0
looking_at_viewer,pantyhose,229181.0
alternate_costume,long_hair,229170.0
jacket,open_mouth,229130.0
dress,holding,229128.0
ahoge,smile,229061.0
cleavage,medium_breasts,229047.0
blush,yellow_eyes,228915.0
smile,yellow_eyes,228741.0
bikini,blush,228715.0
brown_eyes,open_mouth,228665.0
detached_sleeves,solo,228645.0
1girl,blue_archive,228530.0
hat,long_sleeves,228474.0
blue_eyes,cleavage,228069.0
red_eyes,touhou,227965.0
green_eyes,open_mouth,227961.0
hair_between_eyes,short_hair,227955.0
purple_eyes,purple_hair,227852.0
miniskirt,skirt,227678.0
choker,long_hair,227676.0
gloves,white_background,226853.0
horns,solo,226829.0
red_eyes,skirt,226773.0
blonde_hair,bow,226769.0
blonde_hair,long_sleeves,226695.0
long_hair,virtual_youtuber,226596.0
simple_background,upper_body,226008.0
holding,white_background,225829.0
blush,penis,225444.0
blush,cowboy_shot,225414.0
1girl,one_eye_closed,225348.0
black_thighhighs,solo,225124.0
multicolored_hair,streaked_hair,224966.0
gloves,skirt,224776.0
collared_shirt,white_shirt,224664.0
censored,long_hair,224522.0
bow,multiple_girls,224355.0
hololive,virtual_youtuber,224030.0
hairband,solo,223940.0
brown_eyes,short_hair,223872.0
bare_shoulders,collarbone,223720.0
hat,skirt,223589.0
nipples,penis,223361.0
hair_between_eyes,skirt,222860.0
breasts,flower,222387.0
1girl,socks,222381.0
1girl,stomach,222298.0
large_breasts,underwear,222207.0
blue_archive,halo,221957.0
open_mouth,purple_eyes,221125.0
breasts,stomach,221077.0
1girl,halo,220958.0
blonde_hair,hair_ornament,220842.0
heart,smile,220788.0
short_sleeves,smile,220735.0
dress,ribbon,220542.0
brown_hair,hair_ornament,220451.0
open_mouth,sitting,220418.0
blush,braid,220273.0
1girl,necktie,220236.0
dress,white_background,220162.0
blush,purple_hair,220053.0
long_hair,pointy_ears,220027.0
breasts,outdoors,219670.0
large_breasts,multiple_girls,219569.0
black_hair,white_background,219502.0
looking_at_viewer,open_clothes,219160.0
closed_eyes,multiple_girls,219027.0
long_sleeves,ribbon,218857.0
cleavage,hair_ornament,218801.0
animal_ears,shirt,218208.0
looking_at_viewer,pleated_skirt,218101.0
jacket,skirt,217940.0
open_clothes,shirt,217879.0
shirt,standing,217867.0
navel,underwear,217746.0
animal_ears,long_sleeves,217320.0
gloves,shirt,217159.0
sky,solo,217148.0
bow,ribbon,217099.0
black_hair,holding,216922.0
looking_at_viewer,outdoors,216896.0
shorts,solo,216709.0
flower,smile,216701.0
black_dress,dress,216567.0
1girl,black_skirt,216531.0
